n,average,dijkstra
10,764.865,2.14576721191406E-05
20,763.075,5.91278076171875E-05
30,925.995,0.000199794769287
40,791.67,0.000202655792236
50,768.01,0.000273466110229
60,887.35,0.000389337539673
70,972.35,0.000571727752686
80,780.225,0.000718355178833
90,652.045,0.000860929489136
100,616.275,0.00110912322998
110,627.82,0.001344203948975
120,645.26,0.001628160476685
130,661.875,0.001852035522461
140,538.125,0.002143859863281
150,544.96,0.002424716949463
160,568.145,0.002675294876099
170,566.375,0.00313925743103
180,572.345,0.003672361373901
190,512.895,0.00377631187439
200,645.26,0.004383087158203
210,661.875,0.004635572433472
220,538.125,0.005110025405884
230,544.96,0.005555868148804
240,568.145,0.006489276885986
250,566.375,0.007022142410278
260,572.345,0.007208585739136
270,512.895,0.007858276367188
280,645.26,0.009027719497681
290,661.875,0.009614229202271
300,538.125,0.009567499160767
310,544.96,0.010879039764404
320,568.145,0.011429071426392
330,566.375,0.0124990940094
340,572.345,0.012872934341431
350,512.895,0.014322757720947
360,645.26,0.015613555908203
370,661.875,0.016285181045532
380,538.125,0.017575740814209
390,544.96,0.016640663146973
400,568.145,0.018748760223389
410,566.375,0.017886638641358
420,572.345,0.019578218460083
430,512.895,0.021559000015259
440,645.26,0.02260947227478
450,661.875,0.021641492843628
460,538.125,0.023836135864258
470,544.96,0.0236656665802
480,568.145,0.026284694671631
490,566.375,0.027202367782593
500,572.345,0.029682397842407
510,512.895,0.029511213302612
520,645.26,0.032735824584961
530,661.875,0.031336545944214
540,538.125,0.037912607192993
550,544.96,0.034375429153442
560,568.145,0.043678283691406
570,566.375,0.036744832992554
580,572.345,0.037703514099121
590,512.895,0.040342569351196
600,645.26,0.043601751327515
610,661.875,0.040687799453735
620,538.125,0.042502880096436
630,544.96,0.043214321136475
640,568.145,0.048767805099487
650,566.375,0.051153421401978
660,572.345,0.04777455329895
670,512.895,0.050537109375
680,645.26,0.055787801742554
690,661.875,0.057203054428101
700,538.125,0.055217027664185
710,544.96,0.055714130401611
720,568.145,0.068291664123535
730,566.375,0.060800552368164
740,572.345,0.061535835266113
750,512.895,0.06618857383728
760,645.26,0.080047369003296
770,661.875,0.065292358398438
780,538.125,0.074312686920166
790,544.96,0.069968700408936
800,568.145,0.071574687957764
810,566.375,0.075291156768799
820,572.345,0.076818704605103
830,512.895,0.088382482528687
840,645.26,0.091668367385864
850,661.875,0.087213277816773
860,538.125,0.090760707855225
870,544.96,0.090706825256348
880,568.145,0.094861507415772
890,566.375,0.091849088668823
900,572.345,0.092753171920776
910,512.895,0.103453636169434
920,645.26,0.100165605545044
930,661.875,0.097853183746338
940,538.125,0.103325128555298
950,544.96,0.105708360671997
960,568.145,0.106185436248779
970,566.375,0.110370635986328
980,572.345,0.118555545806885
990,512.895,0.115962028503418
1000,645.26,0.117669820785522
